inputs,outputs
where is a rest stop within 5 miles? Four_Seasons is 2 miles away. want the address? yes.,the Four_Seasons is 2 miles away at 465 arcadia pl.
is it gonna be warm friday in alhambra?,the temperature in alhambra has aalhambra_saturday_low and aalhambra_saturday_high on friday
what is the temperature for the next 7 days weather forecast,what city shall i find the weather forecast for?
where is the rest stop within 2 miles?,"there is The_Clement_Hotel 7 miles away, i'm showing it on your map"
what will the highest temperature be in menlo_park on tuesday?,60f is the highest temperature in menlo_park on tuesday
"what is the date of my next lab_appointment and who will be attending? your next lab_appointment is on the 3rd. jeff is coming along. awesome, thanks.",glad i can assist.
where's the closest place to park Palo_Alto_Garage_R is the closest place to park. give me the address.,"481 amaranta ave, it's Palo_Alto_Garage_R_distance away with moderate traffic on our route"
"where is the nearby grocery store? we're 3 miles away from Trader_Joes is there no traffic on our route? there is Trader_Joes_traffic_info on the way. is that okay? i guess it will have to do, set the gps please.",setting gps to Trader_Joes_address now.
what date and time is my dentist_appointment at? your dentist_appointment is on the 13th at 6pm. thank you.,you are welcome.
i need the quickest route to a shopping center.,Stanford_Shopping_Center is 8 miles away.
"i need the fastest route to the hospital. nearest hospital is located at 611 ames ave. called Palo_Alto_Medical_Foundation.  ok, please give me directions via the fastest route.","we're Palo_Alto_Medical_Foundation_distance away and there is moderate traffic on our way, i sent the route on your map"
where can i get coffee? we're 2 miles away from coupe and Starbucks_distance away from starbucks: do you have any preference? the one with less traffic/ that is starbucks. what is the address?,starbucks is at Starbucks_address. do you want me to set the gps?
"find me a tea house we're Starbucks_distance away from starbucks: do you want me to highlight its position on the map? yes, give me the address.","the address is Starbucks_address, i sent it on your map. there is Starbucks_traffic_info and you should be able to reach there in few minutes"
"where is there a shopping center within 5 miles? we're 2 miles away from Town_and_Country but there is a car collision nearby, we might lose lot of time mmm, no, i wanted some route with no traffic... is it the only option? currently Town_and_Country is the only option. well okay i guess it will have to do then where is it located? Town_and_Country is at 383 university ave. but be aware there is a car collision being reported nearby.  ok that's fine just set the navigation.  navigation set for Town_and_Country. thanks so much.",you are welcome
i need information for my upcoming conference.,your conference with the conference_party is on conference_date at 6 pm in the conference_room to discuss the dress code.
"set a reminder for my dentist appointment tomorrow at 9 am, with tom okay, setting a dentist appointment reminder for tomorrow at 9 am with tom. thanks.",you are welcome.
find out the time and parties attending for my yoga_activity.,you have two yoga activities scheduled; one on monday at 6 pm with father and one yoga_activity_date at 6 pm with mother. is that all?
where can i get pizza? there is a Pizza_Chicago 1 mile away. what's the traffic like?,there is moderate traffic to Pizza_Chicago.
when is the football?,the football game is football_activity_date at 9 am.
"where is my home? home is home_address. thanks, let's go there.  setting gps for home now. perfect, thanks.",you're welcome. happy to help.
schedule a reminder for football with ana on the 15th of this month at 11am. ok i have set your reminder for football with ana on the 15th at 11am. thanks,you're welcome
"is it going to snow in the next week what city would you like this information on? will it snow in menlo_park? it will not be snowing in menlo_park this week! okay, thank you!",no problem!
"set a reminder for a dentist appointment at 5 pm on monday the 1st with my mother. okay, i am scheduling a dentist appointment with your mother for monday the 1st at 5pm. thanks.",you're welcome.
what is the highest temperature in manhattan in the next 2 days? it will be 100f on tuesday in manhattan. thanks.,anytime.
find me a nearby shopping mall shopping center the closest shopping center is Midtown_Shopping_Center 3 miles away. thank you.,you're welcome!
where can i get groceries?,there is two grocery stores nearby; one called safeway at Safeway_distance away and one called trader joes and it's 8 miles away.
